Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
66000,35013772.0,-26142146.0,4.9452246e-05,26911678000000.0,0.14331058,0.00030000007,0.29999995,0.0049999994,17.210417,0.0,0.55225843,None,None,None,None,None,1.0
67000,-4149832.2,-11069903.0,4.9407387e-05,32240851000000.0,0.14030686,0.00030000007,0.29999995,0.0049999994,29.54872,0.75919116,0.5459559,None,None,None,None,None,1.0
68000,-8277597.5,-4497760.5,4.9387418e-05,12807910000000.0,0.13227135,0.00030000007,0.29999995,0.0049999994,30.693665,0.83363974,0.54936975,None,None,None,None,None,1.0
69000,-8984213.0,-2954934.5,4.940914e-05,10659385000000.0,0.1460486,0.0003,0.29999995,0.0049999994,30.712315,0.8371931,0.55176604,5998.0,1199.5,-251.08625149726868,-200.86900056898594,39591.32127189637,1.0
70000,-7238566.0,-2925822.5,4.938483e-05,4222068700000.0,0.13349044,0.00030000007,0.29999995,0.0049999994,31.641788,0.8860294,0.5429359,None,None,None,None,None,1.0
71000,-2668534.5,-6623963.0,4.9411694e-05,31772669000000.0,0.12685597,0.0003,0.29999995,0.0049999994,28.621231,0.7044462,0.5487543,2361.0,1199.0007195573448,90.88805040717125,72.71044564247131,17256.03855552673,1.0
72000,-4829677.0,-2246288.5,4.938543e-05,2992787000000.0,0.14751065,0.00030000007,0.29999995,0.0049999994,29.83231,0.77297795,0.5421481,None,None,None,None,None,1.0
73000,-4803131.0,-2190923.2,4.939572e-05,2224026000000.0,0.12500907,0.00030000007,0.29999995,0.0049999994,30.543404,0.8235294,0.54858196,None,None,None,None,None,1.0
74000,17647482.0,-18082186.0,4.9476435e-05,23086206000000.0,0.13252118,0.00030000007,0.29999995,0.0049999994,27.584751,0.63419116,0.5428046,None,None,None,None,None,1.0
75000,10394797.0,-25671182.0,4.945694e-05,115048530000000.0,0.1381863,0.00030000007,0.29999995,0.0049999994,22.257908,0.30698532,0.54608715,None,None,None,None,None,1.0
76000,-4002091.8,-7357478.5,4.9446895e-05,1928298900000.0,0.13439187,0.00030000007,0.29999995,0.0049999994,29.42809,0.7619485,0.55619746,None,None,None,None,None,1.0
